Roll,Pitch,Yaw
0.01,0.02,0.15
0.01,0.02,0.15
0.01,0.02,0.15
0.01,0.02,0.15
0.01,0.02,0.15
0.01,0.02,0.15
0.01,0.02,0.15
0.02,0.01,0.15
0.02,-0.03,0.15
0.02,-0.01,0.15
0.02,0.04,0.14
0.01,0,0.14
0,-0.04,0.15
0.01,-0.02,0.15
0.01,0,0.15
0.01,0.07,0.14
0.01,0.06,0.15
0.01,0.09,0.15
0.01,0.09,0.15
0.01,0.07,0.15
0.01,0.05,0.15
0.02,0.04,0.15
0.01,0.04,0.15
0.02,0.01,0.14
0.01,0,0.14
0.01,0,0.14
0,0,0.14
0,0,0.14
0,0.02,0.14
0,0.03,0.14
0,0.03,0.15
0,0.03,0.15
0.01,0.05,0.15
0.01,0.06,0.15
0.02,0.05,0.15
0.02,0.05,0.15
0.02,0.05,0.15
0.02,0.04,0.14
0.02,0.03,0.14
0.01,0.01,0.14
0.01,0.01,0.14
0.01,0.01,0.14
0.01,0,0.14
0,0.01,0.14
0,0.01,0.14
0.01,0.02,0.15
0.01,0.02,0.15
0.01,0.03,0.15
0.01,0.04,0.15
0.02,0.04,0.15
0.02,0.04,0.15
0.02,0.05,0.15
0.02,0.04,0.14
0.02,0.04,0.14
0.01,0.03,0.14
0.01,0.02,0.14
0,0.02,0.14
0,0.02,0.14
0.01,0.01,0.14
0.01,0.01,0.14
0.01,0.01,0.14
0.01,0.02,0.14
0.01,0.02,0.14
0.01,0.02,0.14
0.01,0.03,0.14
0.01,0.03,0.14
0.01,0.04,0.14
0.01,0.04,0.14
0.01,0.04,0.14
0.01,0.03,0.14
0.01,0.02,0.14
0.01,0.02,0.14
0.01,0.02,0.14
0.01,0.02,0.14
0.01,0.01,0.14
0.01,0.01,0.14
0.01,0.02,0.14
0.01,0.02,0.14
0.01,0.02,0.14
0.01,0.02,0.14
0.01,0.02,0.14
0.01,0.03,0.14
0.01,0.03,0.14
0.01,0.02,0.15
0.01,0.03,0.15
0.01,0.02,0.14
0.01,0.02,0.14
0.02,0.02,0.14
0,0.02,0.14
0.01,0.02,0.14
0.01,0.02,0.14
0.01,0.02,0.14
0,0.02,0.14
0,0.03,0.14
0.01,0.02,0.14
0.01,0.02,0.14
0.01,0.02,0.14
0.01,0.02,0.14
0.01,0.02,0.14
0.02,0.02,0.14
0.02,0.02,0.14
0.01,0.02,0.14
0.01,0.02,0.14
0.01,0.02,0.14
0.01,0.02,0.14
0.01,0.02,0.14
0.01,0.02,0.14
0.01,0.02,0.14
0,0.03,0.14
0,0.03,0.14
0.01,0.02,0.14
0.01,0.03,0.14
0.01,0.03,0.14
0.01,0.03,0.14
0.01,0.02,0.14
0.01,0.02,0.14
0.01,0.02,0.14
0.01,0.02,0.14
0.01,0.02,0.14
0.01,0.02,0.14
0.01,0.02,0.14
0.01,0.02,0.14
0.01,0.02,0.14
0.01,0.02,0.14
0.01,0.02,0.14
0.01,0.02,0.14
0.01,0.02,0.14
0.01,0.02,0.14
0.01,0.02,0.14
0.01,0.02,0.14
0.02,0.02,0.14
0.02,0.02,0.14
0.02,0.02,0.14
0.02,0.02,0.14
0.02,0.02,0.14
0.02,0.01,0.14
0.02,0.01,0.14
0.03,0.02,0.14
0.03,0.02,0.14
0.03,0.02,0.14
0.03,0.02,0.14
0.03,0.02,0.14
0.02,0.02,0.14
0.03,0.02,0.14
0.03,0.02,0.14
0.03,0.02,0.14
0.03,0.02,0.14
0.03,0.02,0.14
0.03,0.02,0.14
0.03,0.02,0.12
0.03,0.02,0.14
0.03,0.02,0.14
0.03,0.02,0.15
0.03,0.02,0.14
0.03,0.02,0.12
0.03,0.02,0.14
0.03,0.02,0.14
0.02,0.02,0.15
0.03,0.03,0.14
0.03,0.03,0.14
0.03,0.02,0.14
0.03,0.02,0.14
0.03,0.02,0.15
0.03,0.02,0.14
0.03,0.02,0.14
0.03,0.02,0.14
0.03,0.02,0.15
0.03,0.02,0.15
0.04,0.02,0.14
0.04,0.02,0.12
0.04,0.02,0.12
0.03,0.02,0.15
0.03,0.02,0.15
0.03,0.02,0.14
0.05,0.02,0.12
0.04,0.01,0.15
0.03,0.01,0.15
0.03,0.01,0.15
0.04,0.01,0.15
0.04,0.01,0.14
0.03,0.01,0.15
0.03,0.02,0.14
0.03,0.02,0.14
0.03,0.02,0.14
0.03,0.01,0.14
0.03,0.01,0.14
0.03,0.02,0.14
0.04,0.01,0.15
0.04,0.01,0.15
0.04,0.01,0.15
0.03,0.01,0.15
0.04,0.01,0.15
0.04,0.01,0.15
0.04,0.02,0.12
0.04,0.02,0.14
0.03,0.01,0.14
0.03,0.01,0.15
0.04,0.01,0.15
0.04,0.01,0.14
0.04,0.01,0.15
0.04,0.01,0.15
0.04,0.01,0.15
0.05,0.02,0.14
0.05,0.02,0.12
0.04,0.01,0.15
0.03,0.01,0.15
0.03,0.01,0.15
0.03,0.01,0.14
0.04,0,0.14
0.03,0.01,0.14
0.03,0.01,0.15
0.03,0.01,0.15
0.04,0,0.14
0.04,0.01,0.12
0.04,0.01,0.14
0.04,0.01,0.15
0.03,0.01,0.14
0.04,0.01,0.14
0.04,0.01,0.12
0.04,0.01,0.14
0.03,0.01,0.14
0.03,0.01,0.14
0.04,0,0.14
0.04,0,0.14
0.04,0,0.12
0.04,0.01,0.14
0.03,0.01,0.15
0.04,0.01,0.15
0.04,0.01,0.14
0.05,0.02,0.12
0.04,0.02,0.12
0.02,0.01,0.15
0.04,0.01,0.15
0.04,0.01,0.15
0.06,0,0.12
0.05,0,0.14
0.04,0,0.15
0.04,0,0.15
0.04,0,0.14
0.05,0.01,0.12
0.04,0.01,0.12
0.03,0.01,0.14
0.03,0.01,0.14
0.03,0.01,0.14
0.04,0.01,0.12
0.04,0.01,0.12
0.04,0.01,0.14
0.04,0.01,0.15
0.05,0.01,0.14
0.05,0.01,0.12
0.04,0.01,0.14
0.04,0.01,0.14
0.04,0.01,0.15
0.04,0.01,0.14
0.04,0.01,0.12
0.04,0.01,0.14
0.04,0.01,0.15
0.04,0.01,0.15
0.04,0.01,0.14
0.04,0.01,0.14
0.04,0.01,0.14
0.04,0.01,0.14
0.04,0.01,0.15
0.04,0.01,0.14
0.04,0.01,0.14
0.04,0.01,0.14
0.04,0.01,0.14
0.04,0.01,0.14
0.04,0.01,0.14
0.04,0.01,0.14
0.04,0,0.14
0.04,0,0.14
0.04,0.01,0.14
0.04,0.01,0.14
0.04,0.01,0.14
0.04,0.01,0.14
0.04,0.01,0.14
0.04,0.01,0.14
0.04,0.01,0.14
0.04,0.01,0.14
0.04,0.01,0.12
0.04,0.01,0.12
0.04,0.01,0.12
0.04,0.01,0.15
0.04,0.01,0.15
0.04,0,0.14
0.04,0,0.14
0.04,0,0.14
0.04,0.01,0.14
0.04,0.01,0.14
0.03,0.01,0.14
0.03,0.01,0.14
0.04,0.02,0.14
0.03,0.01,0.14
0.03,0.01,0.14
0.03,0.01,0.14
0.04,0.02,0.14
0.04,0.02,0.14
0.04,0,0.14
0.04,0.01,0.15
0.04,0.01,0.15
0.04,0.02,0.14
0.04,0.01,0.14
0.04,0.01,0.14
0.03,0.02,0.14
0.03,0.02,0.14
0.04,0.01,0.14
0.04,0.02,0.14
0.04,0.02,0.14
0.04,0.02,0.14
0.04,0.02,0.14
0.04,0.01,0.14
0.04,0.02,0.12
0.04,0.02,0.12
0.04,0.01,0.14
0.04,0.01,0.14
0.04,0.02,0.14
0.04,0.02,0.12
0.04,0.01,0.12
0.04,0.02,0.14
0.04,0.02,0.14
0.04,0.01,0.14
0.04,0.01,0.12
0.05,0.02,0.14
0.04,0.02,0.14
0.04,0.02,0.14
0.05,0.02,0.14
0.05,0.02,0.12
0.05,0.02,0.12
0.05,0.02,0.12
0.04,0.02,0.14
0.04,0.02,0.12
0.05,0.02,0.12
0.05,0.02,0.12
0.04,0.01,0.12
0.04,0.02,0.14
0.04,0.02,0.12
0.05,0.02,0.12
0.05,0.02,0.12
0.05,0.02,0.12
0.04,0.01,0.12
0.04,0.01,0.14
0.04,0.02,0.12
0.04,0.02,0.12
0.04,0.01,0.12
0.04,0.01,0.14
0.04,0.01,0.14
0.04,0.01,0.12
0.04,0.01,0.12
0.04,0.01,0.12
0.04,0.01,0.12
0.04,0.01,0.12
0.04,0.01,0.12
0.04,0.02,0.12
0.04,0.02,0.12
0.04,0.02,0.12
0.04,0.02,0.12
0.04,0.02,0.12
0.04,0.03,0.12
0.04,0.01,0.12
0.04,0.01,0.12
0.04,0.01,0.12
0.04,0.01,0.12
0.04,0.01,0.12
0.04,0.01,0.12
0.04,0.01,0.12
0.04,0.01,0.12
0.04,0.01,0.12
0.04,0.01,0.12
0.04,0.01,0.12
0.04,0.02,0.12
0.04,0.02,0.12
0.04,0.01,0.12
0.04,0.02,0.12
0.05,0.02,0.12
0.05,0.02,0.12
0.04,0.01,0.12
0.05,0.02,0.12
0.05,0.02,0.12
0.04,0.01,0.12
0.04,0.01,0.12
0.04,0.01,0.12
0.04,0.01,0.12
0.04,0.01,0.12
0.04,0.01,0.12
0.04,0.01,0.12
0.05,0.02,0.12
0.05,0.02,0.12
0.04,0.02,0.12
0.05,0.02,0.12
0.04,0.01,0.12
0.04,0.01,0.12
0.05,0.02,0.12
0.04,0.02,0.12
0.04,0.01,0.12
0.04,0.02,0.12
0.04,0.02,0.12
0.04,0.02,0.12
0.04,0.02,0.12
0.04,0.03,0.14
0.04,0.03,0.12
0.05,0.02,0.12
0.04,0.01,0.12
0.04,0.01,0.12
0.04,0.03,0.14
0.04,0.02,0.12
0.04,0.01,0.12
0.05,0.02,0.12
0.04,0.02,0.12
0.04,0.02,0.12
0.04,0.01,0.14
0.04,0.03,0.12
0.04,0.02,0.12
0.04,0.02,0.12
0.03,0.01,0.14
0.03,0.02,0.12
0.03,0.02,0.12
0.03,0.01,0.12
0.03,0.01,0.12
0.03,0.02,0.14
0.03,0.02,0.14
0.04,0.01,0.12
0.04,0.01,0.12
0.04,0.02,0.12
0.03,0.02,0.12
0.03,0.01,0.14
0.03,0.02,0.12
0.03,0.02,0.12
0.03,0.02,0.12
0.03,0.01,0.12
0.03,0.01,0.12
0.03,0.01,0.12
0.03,0.01,0.12
0.03,0.01,0.12
0.03,0.01,0.12
0.03,0.01,0.12
0.03,0.02,0.12
0.03,0.01,0.12
0.03,0.02,0.12
0.04,0.03,0.12
0.04,0.03,0.12
0.03,0.01,0.12
0.03,0.02,0.12
0.03,0.02,0.12
0.03,0.01,0.12
0.03,0.01,0.12
0.04,0.02,0.12
0.03,0.02,0.12
0.03,0.02,0.12
0.03,0.02,0.12
0.03,0.02,0.12
0.03,0.02,0.12
0.03,0.02,0.12
0.03,0.02,0.12
0.03,0.02,0.12
0.02,0.02,0.12
0.02,0.02,0.12
0.03,0.01,0.12
0.03,0.01,0.12
0.03,0.01,0.12
0.03,0.01,0.12
0.02,0.01,0.12
0.02,0.02,0.12
0.03,0.03,0.12
0.03,0.03,0.12
0.02,0.02,0.12
0.03,0.03,0.12
0.03,0.03,0.12
0.03,0.03,0.12
0.03,0.02,0.12
0.03,0.02,0.12
0.03,0.02,0.12
0.03,0.01,0.12
0.03,0.01,0.12
0.03,0.02,0.12
0.03,0.03,0.12
0.04,0.02,0.12
0.03,0.03,0.12
0.03,0.03,0.12
0.03,0.03,0.12
0.03,0.03,0.12
0.04,0.03,0.12
0.03,0.03,0.12
0.03,0.02,0.12
0.04,0.02,0.12
0.04,0.02,0.12
0.03,0.02,0.12
0.03,0.02,0.12
0.03,0.01,0.12
0.03,0.02,0.12
0.03,0.02,0.12
0.03,0.02,0.12
0.03,0.02,0.12
0.03,0.02,0.12
0.03,0.02,0.12
0.03,0.02,0.12
0.03,0.02,0.12
0.03,0.02,0.12
0.03,0.01,0.12
0.03,0.01,0.12
0.03,0.01,0.12
0.03,0.02,0.12
0.03,0.01,0.12
0.03,0.01,0.12
0.03,0.01,0.12
0.03,0.01,0.12
0.03,0.02,0.12
0.03,0.02,0.12
0.03,0.02,0.12
0.03,0.02,0.12
0.03,0.02,0.12
0.03,0.01,0.12
0.02,0.01,0.12
0.02,0.01,0.12
0.02,0.01,0.12
0.03,0.01,0.12
0.02,0.01,0.12
0.02,0.01,0.12
0.03,0.01,0.12
0.03,0.02,0.12
0.03,0.02,0.12
0.02,0.02,0.12
0.02,0.01,0.14
0.02,0.02,0.12
0.03,0.02,0.12
0.03,0.01,0.12
0.03,0.01,0.12
0.02,0.02,0.14
0.02,0.01,0.12
0.02,0.01,0.12
0.04,0.01,0.12
0.04,0.01,0.12
0.02,0.01,0.14
0.02,0.01,0.14
0.03,0.01,0.12
0.03,0.01,0.12
0.03,0.01,0.12
0.02,0.01,0.14
0.02,0.01,0.14
0.03,0.01,0.12
0.04,0.01,0.12
0.03,0.01,0.12
0.03,0.01,0.12
0.03,0.01,0.12
0.03,0.01,0.12
0.04,0.01,0.12
0.03,0.01,0.12
0.02,0.01,0.12
0.03,0.01,0.12
0.03,0.01,0.12
0.03,0.01,0.12
0.03,0.01,0.12
0.03,0.01,0.12
0.04,0.01,0.12
0.04,0.01,0.12
0.03,0.01,0.12
0.03,0.01,0.14
0.03,0.01,0.12
0.04,0.01,0.12
0.04,0.01,0.12
0.02,0.01,0.12
0.02,0.01,0.12
0.03,0.01,0.12
0.03,0.01,0.12
0.03,0.01,0.12
0.03,0.01,0.12
0.03,0.01,0.12
0.04,0.01,0.12
0.04,0.01,0.12
0.03,0.01,0.12
0.03,0.01,0.12
0.02,0.02,0.12
0.03,0.01,0.12
0.03,0.01,0.12
0.02,0.01,0.14
0.02,0.01,0.14
0.02,0.01,0.12
0.03,0.01,0.12
0.03,0.02,0.12
0.03,0.01,0.12
0.02,0.01,0.14
0.02,0.01,0.14
0.03,0.01,0.12
0.04,0.02,0.12
0.03,0.01,0.12
0.03,0.02,0.12
0.02,0.02,0.12
0.02,0.02,0.14
0.03,0.01,0.12
0.03,0.01,0.12
0.04,0.01,0.12
0.03,0.01,0.12
0.03,0.01,0.14
0.04,0.01,0.12
0.04,0.01,0.12
0.03,0.01,0.12
0.02,0.01,0.14
0.02,0.01,0.14
0.03,0.01,0.12
0.03,0.01,0.12
0.03,0.01,0.12
0.03,0.01,0.14
0.03,0.01,0.12
0.04,0.01,0.12
0.04,0.01,0.12
0.04,0.01,0.12
0.03,0.01,0.12
0.03,0.01,0.14
0.03,0.01,0.12
0.04,0.01,0.12
0.04,0.01,0.12
0.03,0.01,0.12
0.02,0.01,0.14
0.04,0.01,0.12
0.03,0.01,0.12
0.03,0.01,0.12
0.03,0.01,0.12
0.04,0.01,0.12
0.04,0.01,0.12
0.03,0.01,0.12
0.03,0.01,0.12
0.03,0.01,0.12
0.03,0.01,0.12
0.04,0.01,0.12
0.04,0.01,0.12
0.03,0.01,0.12
0.03,0.01,0.12
0.02,0.01,0.12
0.03,0.01,0.12
0.03,0.01,0.12
0.03,0.01,0.12
0.03,0,0.12
0.02,0.01,0.14
0.03,0.01,0.12
0.03,0.01,0.12
0.03,0.01,0.12
0.03,0.01,0.12
0.03,0.01,0.12
0.03,0.01,0.12
0.04,0.01,0.12
0.03,0.01,0.12
0.02,0.01,0.14
0.03,0.01,0.14
0.04,0.01,0.12
0.04,0.01,0.12
0.04,0.01,0.12
0.03,0.01,0.14
0.03,0.01,0.14
0.03,0.01,0.14
0.04,0.01,0.12
0.04,0.01,0.12
0.02,0.01,0.15
0.03,0.01,0.14
0.04,0.01,0.12
0.04,0.01,0.12
0.04,0.01,0.12
0.02,0.01,0.15
0.02,0.01,0.14
0.03,0.01,0.12
0.04,0.02,0.12
0.04,0.02,0.12
0.02,0.02,0.14
0.02,0.01,0.15
0.03,0.01,0.12
0.03,0.01,0.12
0.03,0.01,0.12
0.02,0.01,0.14
0.02,0.02,0.14
0.03,0.02,0.12
0.03,0.02,0.12
0.02,0.02,0.14
0.02,0.02,0.14
0.02,0.01,0.12
0.03,0.01,0.12
0.03,0.01,0.12
0.02,0.02,0.14
0.02,0.01,0.14
0.02,0.01,0.14
0.02,0.01,0.12
0.02,0.01,0.12
0.02,0.01,0.12
0.02,0.02,0.14
0.02,0.01,0.12
0.02,0.01,0.12
0.02,0.02,0.14
0.02,0.02,0.14
0.02,0.01,0.14
0.02,0.01,0.12
0.03,0.02,0.12
0.02,0.02,0.12
0.02,0.01,0.12
0.02,0.02,0.15
0.03,0.02,0.14
0.03,0.02,0.12
0.02,0.01,0.12
0.02,0.01,0.12
0.02,0.02,0.14
0.02,0.01,0.14
0.02,0.01,0.12
0.02,0.01,0.12
0.02,0.02,0.14
0.02,0.01,0.14
0.02,0.01,0.14
0.03,0.01,0.12
0.03,0.02,0.14
0.03,0.02,0.14
0.03,0.02,0.14
0.03,0.02,0.14
0.04,0.03,0.12
0.03,0.02,0.14
0.03,0.02,0.14
0.03,0.02,0.14
0.03,0.02,0.14
0.03,0.02,0.12
0.03,0.01,0.12
0.02,0.01,0.14
0.03,0.02,0.14
0.03,0.01,0.12
0.03,0.02,0.12
0.03,0.01,0.12
0.02,0.01,0.15
0.03,0.02,0.15
0.03,0.02,0.14
0.03,0.02,0.12
0.02,0.02,0.12
0.02,0.02,0.15
0.02,0.01,0.14
0.03,0.01,0.12
0.03,0.01,0.12
0.02,0.01,0.15
0.02,0.01,0.15
0.02,0.01,0.15
0.03,0.01,0.14
0.03,0.02,0.12
0.02,0.01,0.15
0.02,0.02,0.15
0.02,0.02,0.14
0.02,0.02,0.12
0.02,0.01,0.14
0.02,0.02,0.14
0.02,0.02,0.14
0.02,0.02,0.14
0.03,0.01,0.14
0.03,0.01,0.14
0.02,0.01,0.14
0.03,0.01,0.14
0.03,0.01,0.14
0.03,0.02,0.12
0.02,0.02,0.14
0.02,0.02,0.15
0.02,0.02,0.14
0.03,0.02,0.12
0.02,0.01,0.12
0.02,0.02,0.14
0.02,0.01,0.15
0.02,0.01,0.14
0.02,0.01,0.14
0.02,0.01,0.12
0.02,0.01,0.14
0.02,0.01,0.15
0.02,0.01,0.15
0.02,0.01,0.14
0.03,0.01,0.12
0.02,0.02,0.14
0.02,0.02,0.17
0.02,0.02,0.17
0.03,0.02,0.15
0.03,0.01,0.12
0.02,0.01,0.14
0.02,0.02,0.15
0.02,0.02,0.15
0.02,0.01,0.14
0.02,0.01,0.14
0.02,0.01,0.14
0.02,0.01,0.15
0.02,0.01,0.14
0.02,0.01,0.12
0.02,0.01,0.12
0.02,0.01,0.15
0.02,0.01,0.15
0.02,0.01,0.14
0.04,0.02,0.12
0.03,0.02,0.12
0.02,0.01,0.15
0.02,0.01,0.15
0.03,0.01,0.12
0.03,0.01,0.12
0.02,0.01,0.14
0.02,0.01,0.15
0.02,0.01,0.14
0.02,0.01,0.14
0.03,0.01,0.14
0.03,0.01,0.14
0.02,0.02,0.14
0.02,0.01,0.14
0.03,0.02,0.14
0.03,0.03,0.14
0.03,0.02,0.14
0.02,0.03,0.14
0.02,0.03,0.14
0.02,0.02,0.14
0.03,0.02,0.14
0.03,0.02,0.14
0.02,0.02,0.14
0.02,0.01,0.14
0.03,0.02,0.14
0.02,0.01,0.14
0.03,0.02,0.14
0.02,0.02,0.14
0.02,0.02,0.14
0.02,0.02,0.14
0.02,0.02,0.14
0.02,0.03,0.14
0.02,0.02,0.14
0.02,0.02,0.14
0.02,0.02,0.14
0.02,0.02,0.14
0.02,0.01,0.14
0.02,0.01,0.14
0.02,0.02,0.14
0.02,0.02,0.14
0.02,0.02,0.14
0.02,0.02,0.14
0.02,0.02,0.14
0.02,0.02,0.14
0.01,0.02,0.14
0.02,0.02,0.14
0.02,0.02,0.14
0.02,0.02,0.14
0.02,0.02,0.14
0.02,0.02,0.14
0.02,0.02,0.14
0.02,0.02,0.14
0.02,0.02,0.14
0.02,0.02,0.14
0.02,0.02,0.14
0.02,0.02,0.14
0.01,0.02,0.14
0.01,0.02,0.14
0.01,0.02,0.14
0.02,0.02,0.14
0.02,0.02,0.14
0.02,0.02,0.14
0.02,0.02,0.14
0.02,0.02,0.14
0.02,0.02,0.14
0.02,0.02,0.14
0.02,0.02,0.14
0.02,0.02,0.14
0.02,0.02,0.14
0.02,0.02,0.14
0.02,0.02,0.14
0.02,0.02,0.14
0.02,0.02,0.14
0.02,0.02,0.14
0.02,0.02,0.14
0.02,0.02,0.14
0.02,0.02,0.14
0.02,0.02,0.14
